Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
24	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
24	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
32	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
37	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
25	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
38	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
22	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
38	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
27	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
23	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
29	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
22	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	1
27	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
22	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	0
34	Feminino	Casado	Mais de 5.000	Lanches	< 4,5	0
34	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
22	Masculino	Casado	Até 5.000	Jantar	< 4,5	0
45	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	1
23	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
27	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
30	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
20	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
19	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
25	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
48	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
35	Feminino	Casado	Até 5.000	Almoço	< 4,5	1
41	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	0
26	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
