ID_Cliente	N_pedidos	Valor	Dist_m_restaurante	Tempo_m_entrega
109752	2	598	1	17
109883	25	11769	1.2	56
109922	1	39	2.4	55
110066	11	7529	2.8	45
110272	10	3101	3.7	20
110485	2	812	2.1	38
110683	17	16908	2.1	24
110700	4	1807	3	35
110760	1	209	3	20
110932	39	4931	2.8	38
110993	23	4423	2.3	31
111184	15	1953	2.8	45
111337	16	7205	3.2	37
111708	30	4514	2	24
111725	1	549	4.1	37
112253	6	1472	1.9	15
112285	1	789	2	26
112537	3	480	1.4	28
112599	15	2547	2	27
112604	1	112	2.9	21
112844	2	261	4.2	45
112922	22	295	3	23
113024	3	1374	2.9	52
113578	1	85	0.1	37
113697	5	3971	2.2	48
113725	1	290	2	29
113747	10	7797	2.4	24
113759	16	11055	2.5	26
113803	1	131	1.6	52
113855	6	2673	3.9	18
113929	3	425	1.9	57
114097	13	4776	2.5	34
114136	8	2994	2.8	48
114304	2	1074	2.6	60
114528	1	153	1.3	42
114656	2	742	3.1	31
114687	2	135	2.2	21
114881	12	6879	1.8	48
114905	6	1598	2	54
115178	6	1644	3.6	26
115223	1	989	2.2	56
115510	55	27910	2.3	47
115947	8	327	2.1	47
116325	2	403	1.3	49
116590	2	1248	1.9	58
116633	18	607	1.6	20
117112	4	1415	2.2	24
117350	21	4251	1.9	42
117561	2	303	2.2	35
117567	3	1938	3.5	58
117695	2	342	2.8	51
117954	10	1076	3.1	36
118014	3	477	2.8	66
118083	9	3411	1.2	50
118187	1	197	2.7	40
118239	16	8378	1.8	39
118420	6	3421	2.4	33
118621	53	5664	2.9	43
118775	24	7274	2.7	62
118877	6	3735	1.8	27
119272	1	64	3.6	22
119357	51	8746	2.4	50
119491	29	15377	2.1	27
119570	15	876	2.7	20
119719	5	2861	1.6	31
120311	2	690	3.3	28
120699	1	48	1.4	77
120756	18	720	4.1	63
120823	6	110	1.9	18
120864	17	2159	3.8	36
121028	29	9164	2.5	38
121060	15	1924	1.8	34
121083	2	1459	2.3	24
121179	3	1551	2	39
121236	1	44	3.6	16
121327	5	123	2.8	44
121345	1	646	3	39
121383	1	165	2.6	27
121528	3	307	0.3	34
121638	27	7866	1.1	20
121831	5	1356	0.8	38
121916	13	3176	2.2	34
121982	9	782	3.1	23
122171	9	2958	1	47
122762	2	283	4.5	22
122773	1	166	3.6	25
122873	1	149	2.5	28
123040	30	14274	2.1	53
123090	4	901	1.9	34
123113	2	1427	2.3	36
123229	14	4346	3.1	56
123320	3	793	4.2	41
123386	6	1061	2	25
123512	2	614	3.4	26
123531	1	230	2.2	56
123567	7	3513	3.2	25
123679	1	354	2.9	49
123712	1	122	4.2	38
123922	3	4166	2.1	17
123925	3	1744	3	46
124042	23	5984	2.7	35
124107	3	5198	3.1	35
124227	2	924	2	26
124387	11	18859	1.1	38
124730	9	1955	2.9	59
124953	12	4757	1.6	56
125013	5	2905	2.6	47
125137	2	339	1.5	27
125275	2	1467	3.8	41
125561	1	397	3.4	46
125577	2	513	2.8	37
125845	3	1102	3	44
125929	2	416	0.6	44
125950	17	5620	2.2	47
126105	2	11	2.6	24
126435	27	12971	3.4	16
126458	16	12640	1.6	54
126539	1	175	4.1	19
126556	7	1820	1.5	17
126735	5	4837	2	37
126811	2	34	2.4	53
127290	1	1219	3.6	61
127367	29	6138	2.7	41
127417	15	4051	0.9	42
127925	2	287	3.2	35
127999	6	859	1.1	43
128174	11	321	2.2	30
